CODIGO_CURSO,RESOLUCION,X,Y,Z
10A01,R.D N°233-2024-FCS,20202,21,001
10A02,R.D N°233-2024-FCS,20202,21,002
10A03,R.D N°233-2024-FCS,20202,21,003
10A04,R.D N°233-2024-FCS,20202,21,004
10A05,R.D N°233-2024-FCS,20202,21,005
10A06,2021121006,20211,21,006
10A07,R.D N°233-2024-FCS,20162,21,007
10A08,R.D N°233-2024-FCS,20162,21,008
10A09,R.D N°233-2024-FCS,20162,21,009
10A10,R.D N°233-2024-FCS,20162,21,010
10A11,R.D N°233-2024-FCS,20162,21,011
21A01,R.D N°233-2024-FCS,20161,21,012
21A02,R.D N°233-2024-FCS,20171,21,013
21A03,R.D N°233-2024-FCS,20171,21,014
21A04,R.D N°233-2024-FCS,20171,21,015
21A05,R.D N°233-2024-FCS,20171,21,016
21A06,R.D N°233-2024-FCS,20171,21,017
21A07,R.D N°233-2024-FCS,20162,21,018
21A08,R.D N°233-2024-FCS,20172,21,019
21A09,R.D N°233-2024-FCS,20172,21,020
21A10,2021221021,20212,21,021
21A11,R.D N°233-2024-FCS,20172,21,022
21A12,2021221023,20212,21,023
21A13,2021121024,20211,21,024
21A14,R.D N°233-2024-FCS,20191,21,025
21A15,2021221026,20212,21,026
21A16,2021221027,20212,21,027
21A17,R.D N°233-2024-FCS,20191,21,028
21A18,2021121029,20211,21,029
21A19,2022121030,20221,21,030
21A20,R.D N°233-2024-FCS,20192,21,031
21A21,2022121032,20221,21,032
21A22,2022121033,20221,21,033
21A23,R.D N°233-2024-FCS,20192,21,034
21A24,2021221035,20212,21,035
21A25,2022121036,20221,21,036
21A26,2021121037,20211,21,037
21A27,2022221038,20222,21,038
21A28,2021121039,20211,21,039
21A29,2022121040,20221,21,040
21A30,2022221041,20222,21,041
21A31,2022221042,20222,21,042
21A32,2022221043,20222,21,043
21A33,2022221044,20222,21,044
P02X2151,2023121045,20231,21,045
21A35,2023121046,20231,21,046
P02X2153,2023221047,20232,21,047
21A37,2023221048,20232,21,048
21AA3,2021121051,20211,21,051
21AA4,2022121052,20221,21,052
21AA6,2022121054,20221,21,054
21AA1,2021121049,20211,21,049
21AA2,2021121050,20211,21,050
